"configuration","problem","model","data_file","status","time","failures","restarts","nSolutions","solveTime","optTime","variables","baseMem","processFlatZincTime","flatIntConstraints","peakMem","randomSeed","run","flatTime","method","peakDepth","propagations","flatIntVars","solutions","flatBoolVars","backjumps","initTime","trailMem","boolVariables","evaluatedReifiedConstraints","nogoods","flatBoolConstraints","objective","intVars","paths","propagators","nodes"
"chuffed","jsswet","jsswet.mzn","jsswet_swv01.dzn","OPTIMAL_SOLUTION","10.68745550501626","12070","69","23","10.46","10.458","251190","0.0","","252","0.0","1630370785","raw","0.067836","minimize","645","79911366","261","","","22522","0.021","4.75","250926","","12070","","99","262","0","4084","47904"
"chuffed","jsswet","jsswet.mzn","jsswet_la17.dzn","OPTIMAL_SOLUTION","0.5901474850252271","244","10","8","0.189","0.189","227208","0.0","","132","0.0","1630369325","raw","0.057524","minimize","1004","314005","131","","","10151","0.227","2.11","227074","","244","","15","132","0","1054","13807"
"gecode","jsswet","jsswet.mzn","jsswet_la35.dzn","UNKNOWN","600.0609456790262","4628589","0","0","599.916","","391","","","372","","","raw","0.080311","minimize","191","439500397","391","0","","","0.002695","","","","","","","","0","372","9257308"
"gecode","jsswet","jsswet.mzn","jsswet_orb09.dzn","OPTIMAL_SOLUTION","237.70628104399657","2940773","0","3313","237.048","","131","","","132","","","raw","0.050914","minimize","82","368281085","131","3313","","","0.001175","","","","","","0","","0","132","5941399"
"chuffed","jsswet","jsswet.mzn","jsswet_swv13.dzn","UNKNOWN","600.1935995860258","","","0","","","","","","612","","","raw","0.117735","minimize","","","651","","","","","","","","","","","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la15.dzn","SATISFIED","600.1732896590256","","","5","599.8294042390189","","","","0.22443242000669986","2042","","","raw","0.119453","minimize","","","161","","1900","","","","","1900","","950","587","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la38.dzn","SATISFIED","600.0460124450037","2541903","0","2089","599.929","","271","","","272","","","raw","0.065483","minimize","155","481132981","271","2089","","","0.002118","","","","","","2568","","0","272","5166141"
"gecode","jsswet","jsswet.mzn","jsswet_la40.dzn","SATISFIED","600.044556036999","3772557","0","2748","599.93","","271","","","272","","","raw","0.064497","minimize","155","355142655","271","2748","","","0.002026","","","","","","2959","","0","272","7597398"
"chuffed","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","313.22559322899906","71673","3062","2871","312.997","312.981","210455","0.0","","272","0.0","1630370184","raw","0.06815","minimize","1081","331701905","271","","","53807","0.008","4.75","210181","","71673","","0","272","0","3454","1661532"
"picat_sat","jsswet","jsswet.mzn","jsswet_la04.dzn","OPTIMAL_SOLUTION","84.36536176200025","","","6","84.02147634199355","","","","0.27937342000669985","522","","","raw","0.064512","minimize","","","81","","450","","","","","450","","225","205","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la11.dzn","SATISFIED","600.0414458420128","11280520","0","727","599.938","","161","","","147","","","raw","0.056613","minimize","106","597692010","161","727","","","0.001346","","","","","","10852","","0","147","22567590"
"chuffed","jsswet","jsswet.mzn","jsswet_abz7.dzn","OPTIMAL_SOLUTION","11.905622703023255","12415","111","65","11.055","11.05","573454","0.0","","357","0.0","1630368721","raw","0.093842","minimize","1048","33853791","361","","","48683","0.555","4.75","573090","","12415","","32","362","0","6094","103336"
"picat_sat","jsswet","jsswet.mzn","jsswet_la21.dzn","OPTIMAL_SOLUTION","187.8381632269593","","","6","187.4942778069526","","","","0.21021142000669987","2282","","","raw","0.133674","minimize","","","196","","2100","","","","","2100","","1050","167","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la40.dzn","OPTIMAL_SOLUTION","204.61611568601802","","","8","204.27223026601132","","","","0.14946442000669985","3407","","","raw","0.194421","minimize","","","271","","3150","","","","","3150","","1575","53","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_abz9.dzn","OPTIMAL_SOLUTION","473.78594083397184","","","7","473.44205541396514","","","","0.06524642000669983","6042","","","raw","0.278639","minimize","","","361","","5700","","","","","5700","","2850","26","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_ft20.dzn","SATISFIED","600.0489635840058","","","1379","","","","","","147","","","raw","0.059478","minimize","","","161","","","","","","","","","","9105","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la25.dzn","OPTIMAL_SOLUTION","263.25311106600566","397708","3725","2876","263.053","263.04","141442","0.0","","192","0.0","1630369557","raw","0.062453","minimize","738","1127860923","196","","","521746","0.012","3.16","141243","","397708","","214","197","0","2319","2010998"
"picat_sat","jsswet","jsswet.mzn","jsswet_abz6.dzn","OPTIMAL_SOLUTION","84.16103572503198","","","7","83.81715030502528","","","","0.24586742000669987","1022","","","raw","0.098018","minimize","","","131","","900","","","","","900","","450","140","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_orb07.dzn","OPTIMAL_SOLUTION","83.3882608920103","","","6","83.0443754720036","","","","0.25508742000669987","1022","","","raw","0.088798","minimize","","","131","","900","","","","","900","","450","102","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la37.dzn","SATISFIED","600.052005089994","","","3366","","","","","","272","","","raw","0.069179","minimize","","","271","","","","","","","","","","1646","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_swv04.dzn","OPTIMAL_SOLUTION","3.3537923750118352","2435","26","12","3.161","3.16","161649","0.0","","252","0.0","1630370921","raw","0.067783","minimize","582","21653543","261","","","12257","0.022","4.75","161385","","2435","","214","262","0","4084","21249"
"gecode","jsswet","jsswet.mzn","jsswet_swv09.dzn","SATISFIED","600.0498173279921","13137269","0","408","599.919","","361","","","357","","","raw","0.075081","minimize","204","403307943","361","408","","","0.002758","","","","","","25022","","0","357","26286780"
"gecode","jsswet","jsswet.mzn","jsswet_orb01.dzn","SATISFIED","600.0435061419848","7791635","0","1917","599.94","","131","","","132","","","raw","0.054351","minimize","83","570313725","131","1917","","","0.001239","","","","","","2689","","0","132","15600329"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv02.dzn","SATISFIED","600.1846308349632","","","7","599.8407454149565","","","","0.13709342000669986","4042","","","raw","0.206792","minimize","","","261","","3800","","","","","3800","","1900","214","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv03.dzn","SATISFIED","600.050106772047","2479711","0","994","599.931","","261","","","252","","","raw","0.063946","minimize","151","299237997","261","994","","","0.002054","","","","","","21283","","0","252","4997345"
"picat_sat","jsswet","jsswet.mzn","jsswet_abz7.dzn","OPTIMAL_SOLUTION","443.571087874996","","","7","443.2272024549893","","","","0.06456342000669985","6042","","","raw","0.279322","minimize","","","361","","5700","","","","","5700","","2850","32","","0","",""
