"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","35.60830265999539","250359","raw","0","","2","69","minimize","14466","1134346","0","3.2766","26.3293","300","14465","1.4366","0","495487","0","168762","0","0","24832","422575"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la31.dzn","OPTIMAL_SOLUTION","523.1864519160008","1685632","raw","0","","2","84","minimize","76517","8188109","0","339.1051","147.345","900","76516","10.3305","0","3420497","0","1171735","0","0","58109","3017196"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la11.dzn","OPTIMAL_SOLUTION","228.43845890002558","364863","raw","0","","2","165","minimize","36720","4850967","0","191.8603","27.1379","160","36719","4.358","0","712336","0","364847","0","0","6383","1638351"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la27.dzn","OPTIMAL_SOLUTION","161.75761339097517","696180","raw","0","","2","283","minimize","36238","5656843","0","87.4012","57.4516","360","36237","6.6524","0","1334042","0","586115","0","0","39070","2040114"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz8.dzn","OPTIMAL_SOLUTION","137.7350520399632","12120","raw","0","","2","3","minimize","501","1027501","0","130.0668","6.32006","6418","500","0.8934","0","14494","0","264674","0","0","","423658"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la21.dzn","OPTIMAL_SOLUTION","64.42978645296535","392452","raw","0","","2","167","minimize","22117","1747904","0","15.0821","39.7111","285","22116","2.4842","0","855645","0","297358","0","0","27244","742537"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv07.dzn","OPTIMAL_SOLUTION","218.6076729450142","1468570","raw","0","","2","24","minimize","50734","6298219","0","54.5518","131.115","720","50733","9.577","0","2893033","0","1032114","0","0","120353","2513250"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz5.dzn","OPTIMAL_SOLUTION","3.220246128970757","2769","raw","0","","2","103","minimize","292","197282","0","1.7133","1.21679","1160","291","0.1723","0","3307","0","50056","0","0","","81214"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv06.dzn","OPTIMAL_SOLUTION","350.53709349100245","1508326","raw","0","","2","192","minimize","53767","10213682","0","184.8309","129.469","560","53766","12.4225","0","2912463","0","1184326","0","0","129334","3788613"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv05.dzn","UNKNOWN","605.9694335429813","8551","raw","0","","0","","minimize","608","871059","0","600.1319","4.71206","4319","607","0.7954","0","10184","0","217023","0","0","","357427"
