"configuration","problem","model","data_file","status","time","run","objective"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","191.96","raw","8142"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.04","raw","8141"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.13","raw","8140"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.21","raw","8139"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.3","raw","8138"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.4","raw","8137"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.48","raw","8136"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.57","raw","8135"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.65","raw","8134"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.74","raw","8133"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.82","raw","8132"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","192.92","raw","8131"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.01","raw","8130"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.09","raw","8129"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.18","raw","8128"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.26","raw","8127"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.35","raw","8126"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.45","raw","8125"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.53","raw","8124"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.62","raw","8123"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.7","raw","8122"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.79","raw","8121"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.87","raw","8120"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","193.97","raw","8119"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.06","raw","8118"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.14","raw","8117"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.23","raw","8116"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.31","raw","8115"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.4","raw","8114"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.51","raw","8113"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.6","raw","8112"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.68","raw","8111"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.77","raw","8110"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.89","raw","8109"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","194.97","raw","8108"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.09","raw","8107"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.19","raw","8106"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.29","raw","8105"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.39","raw","8104"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.47","raw","8103"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.56","raw","8102"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.67","raw","8101"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.75","raw","8100"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.83","raw","8099"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","195.92","raw","8098"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.0","raw","8097"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.09","raw","8096"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.19","raw","8095"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.27","raw","8094"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.35","raw","8093"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.44","raw","8092"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.52","raw","8091"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.61","raw","8090"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.71","raw","8089"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.79","raw","8088"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.87","raw","8087"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","196.96","raw","8086"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.04","raw","8085"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.13","raw","8084"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.23","raw","8083"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.31","raw","8082"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.4","raw","8081"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.48","raw","8080"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.56","raw","8079"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.65","raw","8078"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.75","raw","8077"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.83","raw","8076"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","197.92","raw","8075"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.0","raw","8074"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.08","raw","8073"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.17","raw","8072"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.27","raw","8071"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.35","raw","8070"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.44","raw","8069"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.52","raw","8068"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.61","raw","8067"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.69","raw","8066"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.79","raw","8065"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.87","raw","8064"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","198.96","raw","8063"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.04","raw","8062"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.13","raw","8061"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.21","raw","8060"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.31","raw","8059"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.4","raw","8058"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.48","raw","8057"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.56","raw","8056"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.65","raw","8055"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.73","raw","8054"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.83","raw","8053"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","199.92","raw","8052"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.0","raw","8051"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.08","raw","8050"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.17","raw","8049"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.25","raw","8048"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.37","raw","8047"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.45","raw","8046"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.54","raw","8045"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.63","raw","8044"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.74","raw","8043"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.82","raw","8042"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","200.94","raw","8041"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.04","raw","8040"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.14","raw","8039"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.24","raw","8038"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.32","raw","8037"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.41","raw","8036"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.51","raw","8035"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.6","raw","8034"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.68","raw","8033"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.76","raw","8032"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.85","raw","8031"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","201.93","raw","8030"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.03","raw","8029"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.11","raw","8028"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.2","raw","8027"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.28","raw","8026"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.36","raw","8025"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","202.45","raw","8024"
