"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_4.dzn","","1.12","raw","545"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_4.dzn","","1.12","raw","545"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_medium_1.dzn","","286.71","raw","1481"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_easy_4.dzn","","2.37","raw","545"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.14","raw","0"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.17","raw","0"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.45","raw","1053"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.51","raw","1053"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","602.19","raw","1162"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","602.23","raw","1162"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","602.28","raw","978"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_3.dzn","","602.32","raw","978"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.56","raw","1053"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.64","raw","1053"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.84","raw","804"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.91","raw","804"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","3.29","raw","691"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","3.29","raw","691"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_1.dzn","","6.75","raw","1481"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_1.dzn","","6.75","raw","1481"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","1.67","raw","628"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","605.56","raw","123"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","","605.61","raw","123"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","428.11","raw","1035"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_5.dzn","","428.11","raw","1035"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_easy_5.dzn","","4.45","raw","445"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.87","raw","1053"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","","606.93","raw","1053"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","0.61","raw","691"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_3.dzn","","0.61","raw","691"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.75","raw","134"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.81","raw","134"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","2.02","raw","628"
