"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","OPTIMAL_SOLUTION","4.907330008223653","9352","","","","","","0","3.393","raw","","","1.31673","841","2","0","","","0","","minimize","","","","0","12168","","","4834","","8267","4555","0","4395","0","","8266","10","","0.0265",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","SATISFIED","601.5866783736274","9352","","","","","","0","600.1392","raw","","","1.23745","1566","2","0","","","0","","minimize","","","","0","12168","","","4834","","8267","4555","0","4395","0","","8266","10","","0.0337",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","OPTIMAL_SOLUTION","3.3251022659242153","17795","","","","","","0","0.9597","raw","","","1.99577","1708","8","0","","","0","","minimize","","","","0","21231","","","9306","","16689","8690","0","8669","0","","16688","8","","0.0626",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","OPTIMAL_SOLUTION","4.804311360232532","20179","","","","","","0","2.3989","raw","","","1.98816","1605","17","0","","","0","","minimize","","","","0","24252","","","10301","","18448","9931","0","9673","0","","18447","14","","0.0685",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","OPTIMAL_SOLUTION","9.429769752547145","23423","","","","","","0","6.9139","raw","","","2.07871","3150","2","0","","","0","","minimize","","","","0","27605","","","11736","","21684","11575","0","11192","0","","21683","14","","0.0706",""
"gecode","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","SATISFIED","1200.0470474828035","","","116","334","0.003039","625","","1199.9","raw","","","0.08854","1984","6","","","62811002","0","","minimize","0","","","","","","125622248","","","398","","","","","","334","","7012264711","","6"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1407-line1350.dzn","OPTIMAL_SOLUTION","1.8104293439537287","9334","","","","","","0","0.3732","raw","","","1.23042","1041","6","0","","","0","","minimize","","","","0","12121","","","4834","","8267","4545","0","4395","0","","8266","10","","0.033",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","4.293787063099444","29087","","","","","","0","1.8259","raw","","","2.010889","1909","2","0","","","0","","minimize","","","","0","49268","","","19922","","16670","12803","0","12281","0","","16669","","","0.0944",""
"chuffed","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","OPTIMAL_SOLUTION","0.3934447271749377","","65249","61","190","0.066","65777","","0.049","raw","","0.049","0.130878","4196","7","","13","13","0","0.0","minimize","7","526","22","","","0.0","242","","0.28","508","","","","","1638163587","374","","2809","",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1479-line419.dzn","SATISFIED","601.2368626939133","2848","","","","","","0","600.1658","raw","","","0.960708","5329","2","0","","","0","","minimize","","","","0","9645","","","1641","","686","1095","0","712","0","","685","90","","0.0076",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","OPTIMAL_SOLUTION","5.700798367150128","29101","","","","","","0","3.2884","raw","","","1.95026","1605","2","0","","","0","","minimize","","","","0","46279","","","19193","","18448","13081","0","12701","0","","18447","","","0.088",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","SATISFIED","603.9658853206784","28351","","","","","","0","600.2059","raw","","","3.17612","4566","2","0","","","0","","minimize","","","","0","34173","","","14586","","25804","13855","0","13528","0","","25803","16","","0.0864",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","SATISFIED","604.5433776583523","45508","","","","","","0","600.2433","raw","","","3.5415","9368","2","0","","","0","","minimize","","","","0","64083","","","28424","","34049","21081","0","21073","0","","34048","","","0.1236",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","OPTIMAL_SOLUTION","5.7943651508539915","25633","","","","","","0","3.5836","raw","","","1.78293","2158","23","0","","","0","","minimize","","","","0","40233","","","17230","","16689","11469","0","11415","0","","16688","","","0.0763",""
"gecode","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","SATISFIED","1200.052839672193","","","118","334","0.00328","625","","1199.9","raw","","","0.086244","1409","3","","","36178515","0","","minimize","0","","","","","","72357160","","","398","","","","","","334","","12654577033","","3"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","OPTIMAL_SOLUTION","0.49615369271487","","25626","88","528","0.04","27129","","0.045","raw","","0.045","0.217987","9840","4","","12","12","0","0.0","minimize","4","1501","28","","","0.0","335","","0.42","2099","","","","","1638167278","1050","","3574","",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","SATISFIED","603.0392761602998","40326","","","","","","0","600.2017","raw","","","2.30681","2721","2","0","","","0","","minimize","","","","0","78859","","","31491","","16972","16473","0","16225","0","","16971","","","0.1026",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","OPTIMAL_SOLUTION","12.087943151593208","29081","","","","","","0","9.5764","raw","","","2.03924","1409","2","0","","","0","","minimize","","","","0","49254","","","19922","","16670","12800","0","12281","0","","16669","","","0.1002",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-1303-line1078.dzn","OPTIMAL_SOLUTION","3.5482422253116965","40326","","","","","","0","0.5367","raw","","","2.44206","1246","3","0","","","0","","minimize","","","","0","78859","","","31491","","16972","16473","0","16225","0","","16971","","","0.11",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","OPTIMAL_SOLUTION","14.972452163696289","51705","","","","","","0","10.5284","raw","","","3.65891","5018","30","0","","","0","","minimize","","","","0","89060","","","35774","","28872","22573","0","21707","0","","28871","","","0.1381",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","OPTIMAL_SOLUTION","3.5332758920267224","29101","","","","","","0","1.0982","raw","","","1.95526","1605","7","0","","","0","","minimize","","","","0","46279","","","19193","","18448","13081","0","12701","0","","18447","","","0.0886",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1274-line521.dzn","SATISFIED","604.5490994360298","44982","","","","","","0","600.2632","raw","","","3.43262","6253","2","0","","","0","","minimize","","","","0","54640","","","25508","","39184","21655","0","21680","0","","39183","","","0.1277",""
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1000-1407-line1986.dzn","ERROR","","2890","","","","","","0","","raw","Unknown message kind ASCII `E'","","1.88419","","","0","","","0","","minimize","","","","0","11907","","","2323","","614","850","0","819","0","","613","78","","0.0091",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-1261-line126.dzn","OPTIMAL_SOLUTION","8.438005699776113","66280","","","","","","0","3.7245","raw","","","3.73623","3500","2","0","","","0","","minimize","","","","0","122264","","","49132","","32382","27846","0","27240","0","","32381","","","0.2182",""
