"configuration","problem","model","data_file","status","time","run","objective"
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","691.39","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","691.47","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","2.28","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","2.31","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","","201.81","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","","201.93","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","9.02","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","9.05","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","33.71","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","9.48","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","73.93","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","74.02","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","36.99","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","19.35","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","127.24","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","127.47","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","5.08","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","5.11","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","9.04","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
