"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","SATISFIED","423.73305956088006","4800582","","0","0","0","0","satisfy","1711816","106802","105845","26232","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","328.868","0","81.8556","1","5.1424","1707981"
"mzn-sat-lingeling-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1201.1859141550958","","","","","","0","satisfy","608181","","49426","58787","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","31.4212","","",""
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","18.933868570951745","858438","","0","0","0","0","satisfy","309904","21326","21029","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1.3193","0","15.3108","1","0.8995","307941"
"mzn-sat-lingeling-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.0432886108756","801114","","0","0","0","0","satisfy","123581","12569","16297","3176","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1185.4536","0","14.6694","","0.3816","114706"
"mzn-sat-glucose-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1200.8272468501236","142159","","0","0","0","0","satisfy","46525","7929","7485","20096","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1193.4577","0","6.66312","0","0.148","49716"
"mzn-sat-lingeling-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","UNKNOWN","1201.2005029539578","","","","","","0","satisfy","1063735","","82088","89195","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","54.8373","","",""
"mzn-sat-clasp-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","UNKNOWN","1200.7398509678897","288530","","0","0","0","0","satisfy","48954","5400","7116","1351","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1195.4002","0","4.71206","0","0.1549","44873"
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","SATISFIED","477.0413128361106","4805580","","0","0","0","0","satisfy","1718866","108009","107690","26232","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","372.1349","0","87.1598","1","5.2124","1710480"
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","SATISFIED","1054.692381696077","4800582","","0","0","0","0","satisfy","1711816","106802","105845","26232","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","959.296","0","81.8176","2","5.1355","1707981"
"mzn-sat-glucose-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=20;m=20;holes={}","UNKNOWN","1201.04963527387","801114","","0","0","0","0","satisfy","123581","12569","16297","3176","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1185.6137","0","14.5154","","0.4325","114706"
